LINE_NUMBER,ZONE_NUMBER,TIME_RANGE,DIRECTION,TOTAL_OPERATING_COST,FARE_COLLECTED,FAREBOX_RECOVERY,SIGN_ON_DATE,COUNTY,TYPE
1,1,4 - PM Peak,Inbound,115.57,99.76,86.00,7/14/2013 0:00:00,Essex,Local
1,1,4 - PM Peak,Outbound,191.05,72.50,38.00,7/14/2013 0:00:00,Essex,Local
1,1,5 - Evening,Inbound,148.59,229.60,155.00,7/14/2013 0:00:00,Essex,Local
1,1,5 - Evening,Outbound,212.27,81.35,38.00,7/14/2013 0:00:00,Essex,Local
1,2,1 - Early AM,Inbound,240.58,46.61,19.00,7/14/2013 0:00:00,Essex,Local
1,2,1 - Early AM,Outbound,278.32,63.10,23.00,7/14/2013 0:00:00,Essex,Local
1,2,2 - AM Peak,Inbound,490.60,340.14,69.00,7/14/2013 0:00:00,Essex,Local
1,2,2 - AM Peak,Outbound,412.76,273.56,66.00,7/14/2013 0:00:00,Essex,Local
1,2,3 - Mid Day,Inbound,1235.93,825.98,67.00,7/14/2013 0:00:00,Essex,Local
1,2,3 - Mid Day,Outbound,1082.62,855.44,79.00,7/14/2013 0:00:00,Essex,Local
1,2,4 - PM Peak,Inbound,568.43,220.65,39.00,7/14/2013 0:00:00,Essex,Local
1,2,4 - PM Peak,Outbound,669.85,443.91,66.00,7/14/2013 0:00:00,Essex,Local
1,2,5 - Evening,Inbound,592.02,258.00,44.00,7/14/2013 0:00:00,Essex,Local
1,2,5 - Evening,Outbound,665.14,437.27,66.00,7/14/2013 0:00:00,Essex,Local
1,3,1 - Early AM,Inbound,106.13,22.69,21.00,7/14/2013 0:00:00,Hudson,Local
1,3,1 - Early AM,Outbound,47.17,22.00,47.00,7/14/2013 0:00:00,Hudson,Local
1,3,2 - AM Peak,Inbound,155.67,41.06,26.00,7/14/2013 0:00:00,Hudson,Local
1,3,2 - AM Peak,Outbound,77.83,79.75,102.00,7/14/2013 0:00:00,Hudson,Local
1,3,3 - Mid Day,Inbound,238.22,104.95,44.00,7/14/2013 0:00:00,Hudson,Local
1,3,3 - Mid Day,Outbound,169.82,156.97,92.00,7/14/2013 0:00:00,Hudson,Local
1,3,4 - PM Peak,Inbound,70.75,4.87,7.00,7/14/2013 0:00:00,Hudson,Local
1,3,4 - PM Peak,Outbound,84.91,77.06,91.00,7/14/2013 0:00:00,Hudson,Local
1,3,5 - Evening,Inbound,103.78,29.87,29.00,7/14/2013 0:00:00,Hudson,Local
1,3,5 - Evening,Outbound,94.34,90.19,96.00,7/14/2013 0:00:00,Hudson,Local
111,1,2 - AM Peak,Outbound,0.00,0.00,0.00,7/9/2013 0:00:00,New York,Interstate
111,1,3 - Mid Day,Inbound,463.84,281.69,61.00,7/9/2013 0:00:00,New York,Interstate
111,1,3 - Mid Day,Outbound,0.00,0.00,0.00,7/9/2013 0:00:00,New York,Interstate
111,1,4 - PM Peak,Inbound,526.93,517.05,98.00,7/9/2013 0:00:00,New York,Interstate
111,1,4 - PM Peak,Outbound,0.00,0.00,0.00,7/9/2013 0:00:00,New York,Interstate
111,1,5 - Evening,Inbound,96.48,270.90,281.00,7/9/2013 0:00:00,New York,Interstate
111,2,2 - AM Peak,Outbound,178.11,459.93,258.00,7/9/2013 0:00:00,Hudson,Interstate
111,2,3 - Mid Day,Inbound,898.01,232.66,26.00,7/9/2013 0:00:00,Hudson,Interstate
111,2,3 - Mid Day,Outbound,207.80,674.80,325.00,7/9/2013 0:00:00,Hudson,Interstate
111,2,4 - PM Peak,Inbound,712.47,401.79,56.00,7/9/2013 0:00:00,Hudson,Interstate
111,2,4 - PM Peak,Outbound,29.68,43.21,146.00,7/9/2013 0:00:00,Hudson,Interstate
111,2,5 - Evening,Inbound,200.38,262.76,131.00,7/9/2013 0:00:00,Hudson,Interstate
111,5,2 - AM Peak,Outbound,872.03,745.00,85.00,7/9/2013 0:00:00,Union,Interstate
111,5,3 - Mid Day,Inbound,103.90,137.27,132.00,7/9/2013 0:00:00,Union,Interstate
111,5,3 - Mid Day,Outbound,831.21,696.06,84.00,7/9/2013 0:00:00,Union,Interstate
111,5,4 - PM Peak,Inbound,129.87,310.39,239.00,7/9/2013 0:00:00,Union,Interstate
